title,genres,rating,image
Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,4,Picture
Jumanji (1995),Adventure|Children|Fantasy,1.5,Picture
Grumpier Old Men (1995),Comedy|Romance,4,Picture
Waiting to Exhale (1995),Comedy|Drama|Romance,4,Picture
Father of the Bride Part II (1995),Comedy,4,Picture
Heat (1995),Action|Crime|Thriller,4,Picture
Sabrina (1995),Comedy|Romance,3,Picture
Tom and Huck (1995),Adventure|Children,4,Picture
Sudden Death (1995),Action,3,Picture
GoldenEye (1995),Action|Adventure|Thriller,0.5,Picture
"American President, The (1995)",Comedy|Drama|Romance,4,Picture
Dracula: Dead and Loving It (1995),Comedy|Horror,0.5,Picture
Balto (1995),Adventure|Animation|Children,4.5,Picture
Nixon (1995),Drama,1.5,Picture
Cutthroat Island (1995),Action|Adventure|Romance,0.5,Picture
Casino (1995),Crime|Drama,4,Picture
Sense and Sensibility (1995),Drama|Romance,4,Picture
Four Rooms (1995),Comedy,4.5,Picture
Ace Ventura: When Nature Calls (1995),Comedy,3,Picture
Money Train (1995),Action|Comedy|Crime|Drama|Thriller,2.5,Picture
Get Shorty (1995),Comedy|Crime|Thriller,3,Picture
Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,4,Picture
Assassins (1995),Action|Crime|Thriller,3.5,Picture
Powder (1995),Drama|Sci-Fi,4.5,Picture
Leaving Las Vegas (1995),Drama|Romance,3.5,Picture
Othello (1995),Drama,3.5,Picture
Now and Then (1995),Children|Drama,2.5,Picture
Persuasion (1995),Drama|Romance,5,Picture
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,3,Picture
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,3.5,Picture
Dangerous Minds (1995),Drama,3.5,Picture
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,0.5,Picture
Wings of Courage (1995),Adventure|Romance|IMAX,3.5,Picture
Babe (1995),Children|Drama,3,Picture
Carrington (1995),Drama|Romance,3.5,Picture
Dead Man Walking (1995),Crime|Drama,5,Picture
Clueless (1995),Comedy|Romance,5,Picture
"Cry, the Beloved Country (1995)",Drama,4.5,Picture
Richard III (1995),Drama|War,4,Picture
Dead Presidents (1995),Action|Crime|Drama,4.5,Picture
Restoration (1995),Drama,5,Picture
Mortal Kombat (1995),Action|Adventure|Fantasy,4.5,Picture
To Die For (1995),Comedy|Drama|Thriller,4,Picture
How to Make an American Quilt (1995),Drama|Romance,4.5,Picture
Seven (a.k.a. Se7en) (1995),Mystery|Thriller,5,Picture
Pocahontas (1995),Animation|Children|Drama|Musical|Romance,4,Picture
When Night Is Falling (1995),Drama|Romance,5,Picture
"Usual Suspects, The (1995)",Crime|Mystery|Thriller,5,Picture
Mighty Aphrodite (1995),Comedy|Drama|Romance,4.5,Picture
Lamerica (1994),Adventure|Drama,3.5,Picture
"Big Green, The (1995)",Children|Comedy,4.5,Picture
Georgia (1995),Drama,3,Picture
Home for the Holidays (1995),Drama,4,Picture
"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,3,Picture
"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,4.5,Picture
"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,3.5,Picture
Eye for an Eye (1996),Drama|Thriller,3.5,Picture
Mr. Holland's Opus (1995),Drama,1.5,Picture
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,1.5,Picture
Two if by Sea (1996),Comedy|Romance,3,Picture
Bio-Dome (1996),Comedy,4,Picture
Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,4.5,Picture
French Twist (Gazon maudit) (1995),Comedy|Romance,1.5,Picture
Friday (1995),Comedy,1.5,Picture
From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,4.5,Picture
Fair Game (1995),Action,4,Picture
Kicking and Screaming (1995),Comedy|Drama,2.5,Picture
"Misérables, Les (1995)",Drama|War,2,Picture
Bed of Roses (1996),Drama|Romance,4.5,Picture
Big Bully (1996),Comedy|Drama,4,Picture
Screamers (1995),Action|Sci-Fi|Thriller,4.5,Picture
"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,4.5,Picture
"Juror, The (1996)",Drama|Thriller,3,Picture
"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,3.5,Picture
Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,5,Picture
Antonia's Line (Antonia) (1995),Comedy|Drama,3,Picture
Once Upon a Time... When We Were Colored (1995),Drama|Romance,4,Picture
Last Summer in the Hamptons (1995),Comedy|Drama,3.5,Picture
Angels and Insects (1995),Drama|Romance,5,Picture
White Squall (1996),Action|Adventure|Drama,5,Picture
Dunston Checks In (1996),Children|Comedy,4.5,Picture
Black Sheep (1996),Comedy,4,Picture
Nick of Time (1995),Action|Thriller,4.5,Picture
"Journey of August King, The (1995)",Drama,3.5,Picture
Mary Reilly (1996),Drama|Horror|Thriller,3.5,Picture
Vampire in Brooklyn (1995),Comedy|Horror|Romance,3.5,Picture
Beautiful Girls (1996),Comedy|Drama|Romance,5,Picture
Broken Arrow (1996),Action|Adventure|Thriller,4,Picture
In the Bleak Midwinter (1995),Comedy|Drama,3.5,Picture
"Hate (Haine, La) (1995)",Crime|Drama,4.5,Picture
City Hall (1996),Drama|Thriller,4,Picture
Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,3,Picture
Mr. Wrong (1996),Comedy,3.5,Picture
Unforgettable (1996),Mystery|Sci-Fi|Thriller,4,Picture
Happy Gilmore (1996),Comedy,3.5,Picture
"Bridges of Madison County, The (1995)",Drama|Romance,4.5,Picture
Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,4.5,Picture
Catwalk (1996),Documentary,3.5,Picture
Braveheart (1995),Action|Drama|War,4,Picture
Taxi Driver (1976),Crime|Drama|Thriller,4.5,Picture
Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,2.5,Picture
Before and After (1996),Drama|Mystery,4,Picture
Margaret's Museum (1995),Drama,4.5,Picture
"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy,4.5,Picture
Anne Frank Remembered (1995),Documentary,4.5,Picture
"Young Poisoner's Handbook, The (1995)",Crime|Drama,4.5,Picture
If Lucy Fell (1996),Comedy|Romance,0.5,Picture
"Boys of St. Vincent, The (1992)",Drama,5,Picture
Boomerang (1992),Comedy|Romance,4,Picture
Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,3.5,Picture
"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,3.5,Picture
Flirting With Disaster (1996),Comedy,4,Picture
"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,0.5,Picture
Pie in the Sky (1996),Comedy|Romance,5,Picture
Frankie Starlight (1995),Drama|Romance,2,Picture
Jade (1995),Thriller,3,Picture
Down Periscope (1996),Comedy,4,Picture
Man of the Year (1995),Documentary,5,Picture
"Neon Bible, The (1995)",Drama,3,Picture
Up Close and Personal (1996),Drama|Romance,3,Picture
"Birdcage, The (1996)",Comedy,5,Picture
"Brothers McMullen, The (1995)",Comedy,4,Picture
Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,4,Picture
"Amazing Panda Adventure, The (1995)",Adventure|Children,5,Picture
"Basketball Diaries, The (1995)",Drama,4,Picture
Amateur (1994),Crime|Drama|Thriller,4,Picture
Apollo 13 (1995),Adventure|Drama|IMAX,3,Picture
Rob Roy (1995),Action|Drama|Romance|War,4,Picture
"Addiction, The (1995)",Drama|Horror,4,Picture
Batman Forever (1995),Action|Adventure|Comedy|Crime,4,Picture
Beauty of the Day (Belle de jour) (1967),Drama,5,Picture
Beyond Rangoon (1995),Adventure|Drama|War,3,Picture
Blue in the Face (1995),Comedy|Drama,4,Picture
Canadian Bacon (1995),Comedy|War,4,Picture
Casper (1995),Adventure|Children,4,Picture
Clockers (1995),Crime|Drama|Mystery,4,Picture
Congo (1995),Action|Adventure|Mystery|Sci-Fi,2,Picture
Crimson Tide (1995),Drama|Thriller|War,4,Picture
Crumb (1994),Documentary,4,Picture
Desperado (1995),Action|Romance|Western,5,Picture
Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,4,Picture
Die Hard: With a Vengeance (1995),Action|Crime|Thriller,4,Picture
"Doom Generation, The (1995)",Comedy|Crime|Drama,3,Picture
First Knight (1995),Action|Drama|Romance,3,Picture
Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,4,Picture
Hackers (1995),Action|Adventure|Crime|Thriller,5,Picture
Jeffrey (1995),Comedy|Drama,5,Picture
Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,4,Picture
Judge Dredd (1995),Action|Crime|Sci-Fi,4,Picture
Jury Duty (1995),Comedy,5,Picture
Kids (1995),Drama,5,Picture
Living in Oblivion (1995),Comedy,3,Picture
Lord of Illusions (1995),Horror,3,Picture
Love & Human Remains (1993),Comedy|Drama,4,Picture
Mad Love (1995),Drama|Romance,4,Picture
Mallrats (1995),Comedy|Romance,3,Picture
Mighty Morphin Power Rangers: The Movie (1995),Action|Children,3,Picture
Moonlight and Valentino (1995),Drama|Romance,5,Picture
Mute Witness (1994),Comedy|Horror|Thriller,5,Picture
Nadja (1994),Drama,4,Picture
"Net, The (1995)",Action|Crime|Thriller,5,Picture
Nine Months (1995),Comedy|Romance,3,Picture
Party Girl (1995),Comedy,5,Picture
"Prophecy, The (1995)",Fantasy|Horror|Mystery,4,Picture
Safe (1995),Thriller,3,Picture
"Scarlet Letter, The (1995)",Drama|Romance,3,Picture
Showgirls (1995),Drama,5,Picture
Smoke (1995),Comedy|Drama,4,Picture
Something to Talk About (1995),Comedy|Drama|Romance,3,Picture
Species (1995),Horror|Sci-Fi,5,Picture
Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,5,Picture
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,3,Picture
"Tie That Binds, The (1995)",Thriller,3,Picture
Three Wishes (1995),Drama|Fantasy,3,Picture
Total Eclipse (1995),Drama|Romance,3,Picture
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,4,Picture
Under Siege 2: Dark Territory (1995),Action,4,Picture
Unstrung Heroes (1995),Comedy|Drama,3,Picture
Unzipped (1995),Documentary,3,Picture
"Walk in the Clouds, A (1995)",Drama|Romance,3,Picture
Waterworld (1995),Action|Adventure|Sci-Fi,3,Picture
White Man's Burden (1995),Drama,3,Picture
Wild Bill (1995),Western,4,Picture
"Browning Version, The (1994)",Drama,3,Picture
Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,4,Picture
Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,3,Picture
Before the Rain (Pred dozhdot) (1994),Drama|War,4,Picture
Before Sunrise (1995),Drama|Romance,4,Picture
Billy Madison (1995),Comedy,3,Picture
"Babysitter, The (1995)",Drama|Thriller,4,Picture
Boys on the Side (1995),Comedy|Drama,4,Picture
"Cure, The (1995)",Drama,3,Picture
Castle Freak (1995),Horror,5,Picture
Circle of Friends (1995),Drama|Romance,5,Picture
Clerks (1994),Comedy,4,Picture
Don Juan DeMarco (1995),Comedy|Drama|Romance,5,Picture
Disclosure (1994),Drama|Thriller,3,Picture
Dream Man (1995),Thriller,3,Picture
